169	NK_002	(0)	17	0.031	0.044	0.016	0.733	0.013	0.060	0.104
170	NK_004	(2)	17	0.001	0.000	0.018	0.767	0.049	0.058	0.106
171	NK_006	(7)	17	0.049	0.043	0.036	0.628	0.028	0.054	0.162
172	NK_007	(0)	17	0.000	0.001	0.047	0.753	0.045	0.036	0.118
173	NK_008	(2)	17	0.002	0.024	0.011	0.684	0.025	0.105	0.150
174	NK_011	(3)	17	0.044	0.018	0.012	0.711	0.038	0.052	0.125
175	NK_012	(23)	17	0.061	0.147	0.134	0.462	0.026	0.105	0.064
176	NK_013	(2)	17	0.002	0.001	0.034	0.772	0.038	0.043	0.109
177	NK_016	(0)	17	0.046	0.000	0.009	0.749	0.033	0.070	0.093
178	NK_019	(0)	17	0.183	0.056	0.009	0.606	0.040	0.051	0.053
179	PR_045	(0)	18	0.028	0.002	0.096	0.579	0.036	0.091	0.167
180	PR_046	(0)	18	0.033	0.001	0.100	0.465	0.041	0.147	0.213
181	PR_047	(0)	18	0.003	0.000	0.106	0.598	0.006	0.092	0.195
182	PR_048	(0)	18	0.000	0.000	0.083	0.604	0.050	0.067	0.195
183	PR_049	(0)	18	0.000	0.000	0.089	0.582	0.033	0.098	0.196
184	PR_051	(0)	18	0.033	0.027	0.168	0.512	0.002	0.044	0.214
185	PR_052	(0)	18	0.092	0.001	0.151	0.548	0.003	0.067	0.137
186	PR_053	(0)	18	0.052	0.000	0.128	0.459	0.002	0.082	0.276
187	PR_054	(0)	18	0.045	0.000	0.140	0.537	0.001	0.103	0.175
188	PR_055	(0)	18	0.043	0.000	0.154	0.546	0.000	0.067	0.190
189	PR_056	(0)	18	0.001	0.001	0.129	0.560	0.057	0.061	0.191
190	PR_057	(0)	18	0.203	0.005	0.113	0.426	0.020	0.103	0.130
191	Sedh_001	(0)	19	0.001	0.557	0.000	0.376	0.004	0.027	0.034
192	Sedh_003	(0)	19	0.000	0.998	0.000	0.001	0.000	0.000	0.001
193	Sedh_004	(1)	19	0.000	1.000	0.000	0.000	0.000	0.000	0.000
194	Sedh_005	(0)	19	0.056	0.521	0.001	0.323	0.000	0.012	0.086
195	Sedh_006	(1)	19	0.000	1.000	0.000	0.000	0.000	0.000	0.000
196	Sedh_007	(1)	19	0.000	0.935	0.000	0.011	0.046	0.005	0.002
197	Sedh_009	(1)	19	0.000	1.000	0.000	0.000	0.000	0.000	0.000
198	Sedh_010	(3)	19	0.000	0.985	0.009	0.001	0.000	0.004	0.001
199	Sedh_011	(0)	19	0.000	0.648	0.001	0.281	0.029	0.018	0.024
200	Sedh_012	(1)	19	0.000	0.990	0.000	0.000	0.009	0.000	0.000
201	Sedh_013	(1)	19	0.064	0.746	0.005	0.116	0.000	0.019	0.050
202	Sedh_02	(0)	19	0.001	0.997	0.000	0.001	0.000	0.001	0.000
203	TH_01	(0)	20	0.000	0.000	0.941	0.001	0.003	0.052	0.003
204	TH_02	(0)	20	0.000	0.000	0.923	0.001	0.002	0.073	0.000
205	TH_03	(0)	20	0.000	0.000	0.964	0.000	0.001	0.035	0.000
206	TH_04	(0)	20	0.000	0.000	0.999	0.000	0.000	0.000	0.000
207	TH_05	(0)	20	0.000	0.000	1.000	0.000	0.000	0.000	0.000
208	TH_06	(0)	20	0.000	0.000	0.868	0.035	0.011	0.067	0.018
209	TH_07	(0)	20	0.000	0.000	0.999	0.000	0.000	0.000	0.000
210	TH_08	(0)	20	0.000	0.000	1.000	0.000	0.000	0.000	0.000
211	TH_09	(2)	20	0.001	0.001	0.919	0.002	0.000	0.058	0.020
