196	Sedh_007	(1)	19	0.005	0.003	0.000	0.000	0.034	0.957
197	Sedh_009	(1)	19	0.000	0.000	0.000	0.000	0.000	1.000
198	Sedh_010	(3)	19	0.003	0.001	0.010	0.001	0.000	0.985
199	Sedh_011	(0)	19	0.024	0.030	0.001	0.000	0.286	0.659
200	Sedh_012	(1)	19	0.000	0.000	0.000	0.000	0.000	0.999
201	Sedh_013	(1)	19	0.026	0.056	0.013	0.098	0.066	0.741
202	Sedh_02	(0)	19	0.002	0.001	0.000	0.003	0.001	0.994
203	TH_01	(0)	20	0.050	0.004	0.944	0.000	0.002	0.000
204	TH_02	(0)	20	0.072	0.001	0.925	0.000	0.002	0.000
205	TH_03	(0)	20	0.034	0.000	0.966	0.000	0.000	0.000
206	TH_04	(0)	20	0.000	0.000	0.999	0.000	0.000	0.000
207	TH_05	(0)	20	0.000	0.000	1.000	0.000	0.000	0.000
208	TH_06	(0)	20	0.065	0.012	0.869	0.000	0.054	0.000
209	TH_07	(0)	20	0.000	0.000	0.999	0.000	0.000	0.000
210	TH_08	(0)	20	0.000	0.000	1.000	0.000	0.000	0.000
211	TH_09	(2)	20	0.056	0.021	0.921	0.001	0.001	0.000
212	TH_10	(0)	20	0.000	0.000	1.000	0.000	0.000	0.000
213	TH_11	(0)	20	0.003	0.000	0.997	0.000	0.000	0.000
214	TapaN_001	(1)	21	0.000	0.001	0.000	0.000	0.999	0.000
215	TapaN_002	(0)	21	0.062	0.001	0.001	0.083	0.854	0.000
216	TapaN_003	(0)	21	0.000	0.041	0.000	0.050	0.908	0.000
217	TapaN_004	(0)	21	0.000	0.002	0.000	0.003	0.995	0.000
218	TapaN_005	(0)	21	0.004	0.029	0.000	0.007	0.960	0.000
219	TapaN_006	(2)	21	0.001	0.001	0.000	0.019	0.977	0.001
220	TapaN_007	(0)	21	0.001	0.000	0.000	0.102	0.897	0.000
221	TapaN_008	(0)	21	0.000	0.071	0.001	0.001	0.927	0.000
222	TapaN_009	(0)	21	0.018	0.014	0.000	0.053	0.915	0.000
223	TapaN_010	(1)	21	0.001	0.013	0.000	0.062	0.924	0.000
224	TapaN_011	(0)	21	0.060	0.001	0.007	0.051	0.881	0.000
225	TapaN_012	(0)	21	0.000	0.003	0.001	0.091	0.905	0.000
226	Tucs_01	(0)	22	0.035	0.004	0.010	0.881	0.057	0.013
227	Tucs_02	(0)	22	0.000	0.000	0.000	0.920	0.000	0.080
228	Tucs_03	(0)	22	0.001	0.001	0.000	0.998	0.000	0.000
229	Tucs_04	(0)	22	0.000	0.000	0.000	0.999	0.000	0.000
230	Tucs_05	(0)	22	0.037	0.000	0.001	0.901	0.060	0.000
231	Tucs_06	(0)	22	0.000	0.022	0.064	0.908	0.005	0.000
232	Tucs_07	(0)	22	0.037	0.047	0.001	0.822	0.092	0.001
233	Tucs_08	(1)	22	0.015	0.001	0.000	0.983	0.000	0.000
234	Tucs_09	(0)	22	0.001	0.000	0.011	0.988	0.001	0.000
235	Tucs_10	(0)	22	0.000	0.000	0.000	0.999	0.000	0.000
236	Tucs_11	(0)	22	0.000	0.000	0.000	0.999	0.000	0.000
237	Tucs_12	(0)	22	0.030	0.005	0.028	0.737	0.199	0.000
