179	PR_045	(0)	18	0.505	0.223	0.262	0.009
180	PR_046	(0)	18	0.445	0.267	0.282	0.005
181	PR_047	(0)	18	0.506	0.230	0.263	0.000
182	PR_048	(0)	18	0.465	0.215	0.315	0.005
183	PR_049	(0)	18	0.461	0.233	0.304	0.001
184	PR_051	(0)	18	0.441	0.259	0.273	0.027
185	PR_052	(0)	18	0.529	0.268	0.200	0.003
186	PR_053	(0)	18	0.430	0.246	0.323	0.000
187	PR_054	(0)	18	0.481	0.279	0.240	0.000
188	PR_055	(0)	18	0.490	0.265	0.245	0.000
189	PR_056	(0)	18	0.481	0.229	0.279	0.011
190	PR_057	(0)	18	0.573	0.226	0.184	0.018
191	Sedh_001	(0)	19	0.315	0.021	0.106	0.557
192	Sedh_003	(0)	19	0.000	0.000	0.001	0.999
193	Sedh_004	(1)	19	0.000	0.000	0.000	1.000
194	Sedh_005	(0)	19	0.314	0.026	0.138	0.523
195	Sedh_006	(1)	19	0.000	0.000	0.000	1.000
196	Sedh_007	(1)	19	0.014	0.001	0.022	0.962
197	Sedh_009	(1)	19	0.000	0.000	0.000	1.000
198	Sedh_010	(3)	19	0.000	0.013	0.001	0.985
199	Sedh_011	(0)	19	0.190	0.052	0.095	0.663
200	Sedh_012	(1)	19	0.000	0.000	0.000	1.000
201	Sedh_013	(1)	19	0.146	0.037	0.070	0.746
202	Sedh_02	(0)	19	0.002	0.001	0.001	0.996
203	TH_01	(0)	20	0.000	0.997	0.003	0.000
204	TH_02	(0)	20	0.000	0.998	0.001	0.000
205	TH_03	(0)	20	0.000	0.999	0.000	0.000
206	TH_04	(0)	20	0.000	1.000	0.000	0.000
207	TH_05	(0)	20	0.000	1.000	0.000	0.000
208	TH_06	(0)	20	0.001	0.952	0.048	0.000
209	TH_07	(0)	20	0.000	1.000	0.000	0.000
210	TH_08	(0)	20	0.000	1.000	0.000	0.000
211	TH_09	(2)	20	0.001	0.985	0.013	0.000
212	TH_10	(0)	20	0.000	1.000	0.000	0.000
213	TH_11	(0)	20	0.000	1.000	0.000	0.000
214	TapaN_001	(1)	21	0.831	0.001	0.168	0.000
215	TapaN_002	(0)	21	0.825	0.084	0.091	0.000
216	TapaN_003	(0)	21	0.788	0.001	0.211	0.000
217	TapaN_004	(0)	21	0.839	0.001	0.160	0.000
218	TapaN_005	(0)	21	0.797	0.003	0.200	0.000
