115	Jac_013	(0)	14	0.920	0.000	0.000	0.000	0.000	0.000	0.000	0.079
116	Jac_014	(0)	14	0.915	0.000	0.000	0.000	0.000	0.002	0.000	0.082
117	Jac_015	(0)	14	0.938	0.000	0.001	0.000	0.000	0.000	0.025	0.035
118	Jac_016	(0)	14	0.999	0.000	0.000	0.000	0.000	0.000	0.000	0.000
119	Jac_017	(0)	14	0.956	0.000	0.000	0.000	0.000	0.014	0.029	0.000
120	Jac_018	(0)	14	0.954	0.023	0.000	0.001	0.000	0.010	0.011	0.000
121	Jac_019	(0)	14	0.970	0.000	0.000	0.000	0.000	0.022	0.008	0.000
122	Jac_020	(0)	14	0.898	0.001	0.000	0.000	0.002	0.008	0.052	0.039
123	Jac_021	(0)	14	0.998	0.000	0.000	0.000	0.001	0.000	0.000	0.000
124	Jac_022	(0)	14	0.906	0.000	0.000	0.000	0.092	0.000	0.001	0.000
125	Jac_023	(0)	14	0.922	0.000	0.000	0.000	0.000	0.053	0.025	0.000
126	Jac_024	(0)	14	0.912	0.000	0.000	0.000	0.063	0.000	0.025	0.001
127	Jac_025	(0)	14	0.920	0.000	0.000	0.000	0.001	0.000	0.078	0.000
128	Jac_026	(0)	14	0.907	0.000	0.000	0.000	0.000	0.085	0.007	0.000
129	Jac_027	(0)	14	0.952	0.004	0.000	0.000	0.026	0.001	0.016	0.001
130	Jac_028	(0)	14	0.963	0.001	0.000	0.001	0.000	0.033	0.001	0.000
131	Jac_036	(0)	14	0.025	0.043	0.062	0.001	0.006	0.447	0.058	0.359
132	Jac_041	(0)	14	0.998	0.000	0.000	0.000	0.000	0.000	0.000	0.000
133	Jac_076	(0)	14	0.961	0.000	0.000	0.000	0.000	0.000	0.000	0.039
134	Jac_078	(0)	14	0.872	0.000	0.000	0.000	0.012	0.000	0.044	0.071
135	Jac_079	(0)	14	0.921	0.000	0.002	0.000	0.000	0.002	0.000	0.075
136	Jac_081	(0)	14	0.980	0.000	0.000	0.000	0.003	0.000	0.016	0.000
137	Jac_082	(0)	14	0.958	0.002	0.000	0.000	0.001	0.020	0.019	0.000
138	Jac_083	(0)	14	0.964	0.000	0.000	0.002	0.029	0.000	0.004	0.000
139	Jac_086	(0)	14	0.963	0.001	0.000	0.000	0.000	0.000	0.002	0.034
140	Jac_090	(0)	14	0.995	0.000	0.000	0.000	0.000	0.000	0.000	0.003
141	Jac_091	(0)	14	0.963	0.000	0.000	0.000	0.000	0.000	0.000	0.036
142	Jac_092	(0)	14	0.946	0.000	0.000	0.000	0.000	0.000	0.001	0.052
143	Jac_094	(0)	14	0.971	0.000	0.000	0.000	0.000	0.000	0.001	0.027
144	Lun_001	(1)	15	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000
145	Lun_008	(1)	15	0.000	0.000	0.998	0.000	0.000	0.001	0.000	0.000
146	Lun_009	(1)	15	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000
147	Lun_010	(1)	15	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000
148	Lun_011	(0)	15	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000
149	Lun_012	(1)	15	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000
150	Lun_013	(1)	15	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000
151	Lun_014	(1)	15	0.000	0.000	0.990	0.000	0.000	0.009	0.000	0.000
152	Lun_015	(3)	15	0.001	0.001	0.960	0.002	0.006	0.029	0.000	0.000
153	Lun_016	(1)	15	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000
154	Lun_017	(1)	15	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000
155	Lun_02	(1)	15	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000
156	Mar_001	(0)	16	0.549	0.000	0.003	0.000	0.065	0.000	0.085	0.297
157	Mar_003	(0)	16	0.390	0.017	0.000	0.001	0.143	0.016	0.233	0.200
158	Mar_004	(0)	16	0.516	0.001	0.000	0.000	0.084	0.000	0.076	0.324
159	Mar_005	(0)	16	0.426	0.069	0.000	0.002	0.109	0.054	0.191	0.149
160	Mar_006	(0)	16	0.453	0.001	0.000	0.002	0.183	0.055	0.183	0.124
161	Mar_007	(0)	16	0.438	0.017	0.000	0.002	0.144	0.002	0.192	0.204
162	Mar_008	(0)	16	0.427	0.000	0.000	0.000	0.110	0.001	0.127	0.335
163	Mar_009	(0)	16	0.477	0.040	0.007	0.006	0.090	0.038	0.156	0.186
164	Mar_011	(0)	16	0.458	0.001	0.000	0.000	0.126	0.021	0.147	0.247
165	Mar_012	(0)	16	0.468	0.020	0.000	0.001	0.125	0.008	0.163	0.215
